"","x"
"1","Farrell, John W; Janecek, Thomas R 1991"
"2","Ravelo, AC; Shackleton, NJ 1995"
"3","Bickert et al. 1997"
"4","Chaisson, W.P. & Ravelo, A. 1997"
"5","Grant, K.M. & Dickens, G.R. 2002"
"6","deMenocal et al. 1997"
"7","Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina 2001"
"8","Kennett, James P 1986"
"9","Steph, S., Tiedemann, R., Groeneveld, J. 2006"
"10","Tiedemann, Ralf 1991"
"11","Tiedemann & Franz 1997"
"12","Franz & Tiedemann2002"
"13","Franz, Sven-Oliver 1999"
"14","Billups et al. 1998"
"15","Li, Q et al. 2006"
"16","M.L. Prentice,J.K. Freiz, G.G. Simonds, R.K. Matthews "
"17","Resig, JM; Kroopnick, PM 1983"
"18","M.L. Prentice, J.K. Freiz, G.G. Simonds, R.K. Matthews "
"19","Bell et al. 2014"
"20","MARUM Bremen this study"
"21","Shackleton, N.J., Hall, M.A. 1997"
"22","UniCambridge Hodell this study"
"23","Nathan, SA; Leckie, RM 2009"
"24","Tian et al. 2018"
"25","Drury et al. 2017"
"26","Holbourn et al. 2007;2013;2018"
"27","Saelen, G., Lunde, I. L., Walderhaug Porten, K., Braga, J. C., Dundas, S. H., Ninnemann, U. S., Ronen, Y., and Talbot, M. R 2016"
"28","Elmstrom, KM; Kennett, JP 1986"
"29","Corfield, R.M., Cartlidge, J.E. 1993"
"30","Holbourn et al. 2014"
"31","Li, Q., Li, B., Zhong, G., McGowran, B., Zhou, Z., Wang, J., and Wang, P. 2006"
"32","Biolzi, M. 1983"
"33","Holbourn et al. 2015"
"34","Tian et al. 2014"
"35","Liebrand et al. 2011;2016"
"36","Buening, N., Carlson, S.J., Spero, H.J., and Lee, D.E. 1998"
"37","Keller, G. 1983"
"38","Boersma, A. & Shackleton, N 1978"
"39","van Eijden, AJM; Ganssen, GM 1995"
"40","Poore, Richard Z; Matthews, RK 1984"
"41","Keigwin, L.D. jr. & Corliss, B.H. 1986"
"42","Belanger P.E. & Matthews, R.K. 592"
"43","Wade and Paelike 2004"
"44","Lear et al. 2004"
"45","Paelike2006 PI Herrle"
"46","Coxall et al. 2005"
"47","Coxall & Wilson, 2011"
"48","Pearson et. al. 2007"
"49","Riesselmann et al. 2007"
"50","PEARSON, P. N., DITCHFIELD, P. W., SINGANO, J., HARCOURT-BROWN, K. G., NICHOLAS, C. J., OLSSON, R. K., SHACKLETON, N. J. & HALL, M. A. 2001"
"51","Pearson, P. N., Ditchfield, P. W., Singano, J., Harcourt-Brown, K. G., Nicholas, C. J., Olsson, R. K., Shackleton, N. J. & Hall, M. A. 2001"
"52","Coxall, H.K., Pearson, P.N., Shackleton, N.J., Hall, M.A., 2000"
"53","this study"
"54","Timothy J. Bralower  James C. Zachos  Ellen Thomas  Matthew Parrow  Charles K. Paull  D. Clay Kelly Isabella Premoli Silva  William V. Sliter  Kyger C. Lohmann 1995"
"55","Boscolo Galazzo et al. 2014"
"56","BICE, K. L. & NORRIS, R. D 2005"
"57","Westerhold et al. 2018 LLTM"
"58","Sexton et al. 2011"
"59","Lauretano et al. 2016; 2018"
"60","Lauretano et al. 2015"
"61","Thomas et al. 2018"
"62","Littler et al. 2014"
"63","Lu, G., Keller, G 1996"
"64","Stap et al. 2010"
"65","McCarren et al. 2008 et al. 2008"
"66","McCarren et al. 2008"
"67","Berggren, W.A. & Norris, R.D. 116"
"68","Berggren, W.A. & Norris, R.D. 1997"
"69","Barnet et al. 2019"
"70","Frank, T.D. & Arthur, M.A. 1999"
"71","Barnet et al. 2017"
"72","Hull et al. 2020"
"73","Schovsbo et al. 2008"
"74","MacLeod, KG,  Huber, B.T., Isaza-Londono, C. 2005"
"75","Jung, Claudia; Voigt, Silke; Friedrich, Oliver; Koch, Mirjam C; Frank, Martin 2013"
"76","Morrison, J.O. 1991"
"77","BARRERA, E. & SAVIN, S. M. 1999"
"78","Zakharov, Y.D., Smyshlyaeva, O.P., Tanabe, K., Shigeta, Y., Maeda, H., Ignatiev, A.V., Velivetskaya, T.A., Afanasyeva, T.B., Popov, A.M., Golozubov, V.V., Kolyada, A.A., Cherbadzhi, A., Moriya, K 2005"
"79","Li, L. & Keller, G. 1999"
"80","Thibault et al. 2012"
"81","Abramovich, Sigal; Keller, Gerta; Stueben, Doris; Berner, Zsolt 2003"
"82","Pirrie, D., and Marshall, J.D. 1990"
"83","Dutton, A., Huber, B.T., Lohmann, K.C., and Zinsmeister, W.J. 2007"
"84","Friedrich, O., Jens O. Herrle, Peter Koessler, Christoph Hemleben 2004"
"85","Voigt et al. 2010"
"86","Huber, Brian T; Norris, Richard D; MacLeod, Kenneth G 2002"
"87","Jenkyns et al. 1994"
"88","Linnert et al. 2018"
"89","Ditchfield, P., Marshall, J., and Pirrie, D. 1994"
"90","Niebuhr, B., and Joachimski, M.M. 2002"
"91","Jarvis et al. 2006"
"92","Thibault et al. 2016"
