age,d13C,source,assigned location,assigned lat,assigned lon,category,
0,1.56,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0,2.2,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.000564,-0.8,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.002689,0.43,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.003099,-0.07,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.004131,-1.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.005134,0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.005617,-0.32,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.005917,0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.007103,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.007579,-0.28,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.008589,-0.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.01,1.49,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.01,1.6,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.01,1.92,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.01,1.98,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.01,2.13,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.010024,-0.69,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.010076,-0.92,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.011553,-0.72,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.012469,-0.67,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.013048,-1.25,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.014006,-0.69,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.014914,-0.88,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.015196,-0.86,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.015414,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.016821,-0.73,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.017359,-0.72,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.017785,-0.98,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.018229,-0.63,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.019636,-0.68,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.019804,-0.59,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.019804,-0.59,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
