"","age","d13C","source","assigned location","assigned lat","assigned lon","category"
"1","  0.000564","-0.80000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"2","  0.002689"," 0.43000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"3","  0.003099","-0.07000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"4","  0.004131","-1.22000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"5","  0.005134"," 0.23000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"6","  0.005617","-0.32000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"7","  0.005917"," 0.23000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"8","  0.007103","-0.52000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"9","  0.007579","-0.28000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"10","  0.008589","-0.14000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"11","  0.010024","-0.69000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"12","  0.010076","-0.92000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"13","  0.011553","-0.72000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"14","  0.012469","-0.67000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"15","  0.013048","-1.25000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"16","  0.014006","-0.69000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"17","  0.014914","-0.88000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"18","  0.015196","-0.86000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"19","  0.015414","-0.52000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"20","  0.016821","-0.73000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"21","  0.017359","-0.72000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"22","  0.017785","-0.98000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"23","  0.018229","-0.63000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"24","  0.019636","-0.68000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"25","  0.019804","-0.59000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"26","  0.019804","-0.59000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"27","  0.020375","-0.80000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"28","  0.022249","-0.64000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"29","  0.022964","-0.85000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"30","  0.023859","-0.52000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"31","  0.024626","-0.65000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"32","  0.024969","-1.03000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"33","  0.025750","-0.46000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"34","  0.026585","-0.71000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"35","  0.026585","-0.70000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"36","  0.026833","-0.21000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"37","  0.027694","-0.48000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"38","  0.028200","-0.75000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"39","  0.029040","-0.28000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"40","  0.029815","-0.67000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"41","  0.031246","-0.62000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"42","  0.031246","-0.20000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"43","  0.031431","-0.69000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"44","  0.031583","-0.19000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"45","  0.033046","-0.55000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"46","  0.033453","-0.12000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"47","  0.033528"," 0.00000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"48","  0.034662","-0.83000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"49","  0.035472","-0.18000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
"50","  0.036277","-0.73000000","Bickert et al. 1997","CearaRiseStack","  5.00"," -44.00","bf"
