age_Ma,d13CO2_permil
0.0,-6.6381
0.1,-6.6381
0.2,-6.6381
0.3,-6.6381
0.4,-6.6381
0.5,-6.6381
0.6,-6.6381
0.7,-6.6381
0.8,-6.6381
0.9,-6.6381
1.0,-6.6381
1.1,-6.6381
1.2,-6.6381
1.3,-6.6381
1.4,-6.6381
1.5,-6.6334
1.6,-6.6242
1.7,-6.6114
1.8,-6.5986
1.9,-6.5803
2.0,-6.5612
2.1,-6.5387
2.2,-6.5067
2.3,-6.4871
2.4,-6.4721
2.5,-6.4546
2.6,-6.4295
2.7,-6.4103
2.8,-6.4011
2.9,-6.3947
3.0,-6.3871
3.1,-6.3743
3.2,-6.3672
3.3,-6.3646
3.4,-6.3627
3.5,-6.3564
3.6,-6.3500
3.7,-6.3391
3.8,-6.3211
3.9,-6.2962
4.0,-6.2770
4.1,-6.2631
4.2,-6.2436
4.3,-6.2195
4.4,-6.2003
4.5,-6.1930
4.6,-6.2268
4.7,-6.2695
4.8,-6.2820
4.9,-6.2884
5.0,-6.3327
5.1,-6.3590
5.2,-6.3462
5.3,-6.3334
5.4,-6.3206
5.5,-6.3078
5.6,-6.2950
5.7,-6.2822
5.8,-6.2695
5.9,-6.2567
6.0,-6.2439
6.1,-6.2311
6.2,-6.2183
6.3,-6.2055
6.4,-6.1927
6.5,-6.1800
6.6,-6.1672
6.7,-6.1544
6.8,-6.1416
6.9,-6.1288
7.0,-6.1160
7.1,-6.1032
7.2,-6.0994
7.3,-6.0942
7.4,-6.0800
7.5,-6.0545
7.6,-6.0341
7.7,-6.0149
7.8,-5.9957
7.9,-5.9766
8.0,-5.9692
8.1,-5.9628
8.2,-5.9564
8.3,-5.9503
8.4,-5.9503
8.5,-5.9455
8.6,-5.9420
8.7,-5.9429
8.8,-5.9493
8.9,-5.9503
9.0,-5.9503
9.1,-5.9536
9.2,-5.9664
9.3,-5.9669
9.4,-5.9711
9.5,-5.9775
9.6,-5.9834
9.7,-5.9834
9.8,-5.9834
9.9,-5.9834
10.0,-5.9834
10.1,-5.9834
10.2,-5.9948
10.3,-5.9962
10.4,-5.9936
10.5,-6.0000
10.6,-6.0000
10.7,-6.0090
10.8,-6.0166
10.9,-6.0166
11.0,-6.0166
11.1,-6.0114
11.2,-6.0116
11.3,-6.0166
11.4,-6.0166
11.5,-6.0166
11.6,-6.0166
11.7,-6.0123
11.8,-5.9998
11.9,-5.9934
12.0,-5.9870
12.1,-5.9806
12.2,-5.9742
12.3,-5.9678
12.4,-5.9560
12.5,-5.9467
12.6,-5.9387
12.7,-5.9259
12.8,-5.9193
12.9,-5.9171
13.0,-5.9148
13.1,-5.9084
13.2,-5.9020
13.3,-5.8906
13.4,-5.8747
13.5,-5.8556
13.6,-5.8364
13.7,-5.8115
13.8,-5.7822
13.9,-5.7483
14.0,-5.7099
14.1,-5.6716
14.2,-5.6287
14.3,-5.5814
14.4,-5.5309
14.5,-5.4862
14.6,-5.4414
14.7,-5.3967
14.8,-5.3562
14.9,-5.3306
15.0,-5.3051
15.1,-5.2835
15.2,-5.2707
15.3,-5.2707
15.4,-5.2707
15.5,-5.2660
15.6,-5.2596
15.7,-5.2541
15.8,-5.2541
15.9,-5.2759
16.0,-5.3015
16.1,-5.3204
16.2,-5.3204
16.3,-5.3266
16.4,-5.3330
16.5,-5.3394
16.6,-5.3467
16.7,-5.3659
16.8,-5.3851
16.9,-5.3950
17.0,-5.4021
17.1,-5.4405
17.2,-5.4618
17.3,-5.4886
17.4,-5.5205
17.5,-5.5525
17.6,-5.6100
17.7,-5.6496
17.8,-5.6815
17.9,-5.7135
18.0,-5.7455
18.1,-5.7618
18.2,-5.7945
18.3,-5.8399
18.4,-5.8655
18.5,-5.8674
18.6,-5.8916
18.7,-5.9214
18.8,-5.9344
18.9,-5.9536
19.0,-5.9728
19.1,-5.9863
19.2,-5.9936
19.3,-6.0064
19.4,-6.0137
19.5,-6.0166
19.6,-6.0215
19.7,-6.0407
19.8,-6.0476
19.9,-6.0497
20.0,-6.0545
20.1,-6.0668
20.2,-6.0732
20.3,-6.0796
20.4,-6.0890
20.5,-6.0994
20.6,-6.0994
20.7,-6.0881
20.8,-6.0791
20.9,-6.0727
21.0,-6.0663
21.1,-6.0471
21.2,-6.0234
21.3,-5.9979
21.4,-5.9723
21.5,-5.9467
21.6,-5.9003
21.7,-5.8691
21.8,-5.8577
21.9,-5.8513
22.0,-5.8449
22.1,-5.8405
22.2,-5.8373
22.3,-5.8341
22.4,-5.8309
22.5,-5.8277
22.6,-5.8260
22.7,-5.8260
22.8,-5.8260
22.9,-5.8586
