"parameter","form","time.index","Rhat","ESS"
"d13CO2","raw",1,1.00187698860778,22363.0833238115
"d13CO2","raw",2,1.00136435171954,22592.1140479597
"d13CO2","raw",3,1.00100347165065,22678.5548740921
"d13CO2","raw",4,1.00081034138833,22925.9278688574
"d13CO2","raw",5,1.00060526896414,23328.5707715369
"d13CO2","raw",6,1.00049279706081,23300.8238830834
"d13CO2","raw",7,1.00038076593729,23304.8042799185
"d13CO2","raw",8,1.00029914328481,23331.0741391197
"d13CO2","raw",9,1.00025764727497,23363.0227615307
"d13CO2","raw",10,1.00019919356173,23375.9985634686
"d13CO2","raw",11,1.00016848296676,23582.9999862098
"d13CO2","raw",12,1.00012587928973,23587.0508700135
"d13CO2","raw",13,1.00009245240218,23596.422458458
"d13CO2","raw",14,1.00007048358415,23566.3202365759
"d13CO2","raw",15,1.00008091080878,23532.7239030947
"d13CO2","raw",16,1.00008010595819,23572.5456491008
"d13CO2","raw",17,1.00007603813477,23583.3658734144
"d13CO2","raw",18,1.00008168898004,23621.3839432193
"d13CO2","raw",19,1.00005997252537,23617.7508711578
"d13CO2","raw",20,1.00003899384141,23622.7035004216
"d13CO2","raw",21,1.00002318004658,23649.1238772686
"d13CO2","raw",22,1.00000404236746,23618.1306954401
"d13CO2","raw",23,0.999997209004661,23622.213756276
"d13CO2","raw",24,0.999986477624021,23619.9592749497
"d13CO2","raw",25,0.999970717141242,23615.522585561
"d13CO2","raw",26,0.999984857718026,23635.2806592565
"d13CO2","raw",27,0.999971549862283,23632.7227750472
"d13CO2","raw",28,0.999952624918186,23602.9688555696
"d13CO2","raw",29,0.999946941177527,23608.7386550497
"d13CO2","raw",30,0.999937382143929,23589.1107979871
"d13CO2","raw",31,0.99992215075281,23612.8441222718
"d13CO2","raw",32,0.999916372684837,23612.994958383
"d13CO2","raw",33,0.999930009131203,23624.1702605607
"d13CO2","raw",34,0.999930175888504,23600.8311991687
"d13CO2","raw",35,0.999929577611945,23588.4899170055
"d13CO2","raw",36,0.999932576621166,23574.3022387107
"d13CO2","raw",37,0.999933175724922,23545.1308694919
"d13CO2","raw",38,0.99994223429645,23565.8876480805
"d13CO2","raw",39,0.999945654793097,23583.9390061594
"d13CO2","raw",40,0.999937353272796,23575.6152361914
"d13CO2","raw",41,0.99993117943665,23576.9704268389
"d13CO2","raw",42,0.999940852269756,23548.6850679632
"d13CO2","raw",43,0.999940861508367,23539.6404639635
"d13CO2","raw",44,0.999927594517505,23557.1499676957
"d13CO2","raw",45,0.999936545225631,23582.8440271666
"d13CO2","raw",46,0.999931320637052,23602.7935187984
"d13CO2","raw",47,0.999926386121641,23621.2072851106
"d13CO2","raw",48,0.999923322636691,23617.4300269452
"d13CO2","raw",49,0.999922787752139,23615.9528851436
"d13CO2","raw",50,0.999936094061193,23629.709518567
"d13CO2","raw",51,0.999931990516516,23638.4682954925
"d13CO2","raw",52,0.99993227674549,23669.9954513119
"d13CO2","raw",53,0.999932685360617,23642.1003756902
"d13CO2","raw",54,0.999941020837108,23639.3645917755
"d13CO2","raw",55,0.999940211166412,23661.2659765049
"d13CO2","raw",56,0.999947640846953,23654.3533739494
"d13CO2","raw",57,0.999949848657129,23644.0070147909
"d13CO2","raw",58,0.999945722485202,23643.8782400856
"d13CO2","raw",59,0.999954468494328,23437.4842391715
"d13CO2","raw",60,0.999945518901184,23666.5134616391
"d13CO2","raw",61,0.999928778295957,23690.2216552053
"d13CO2","raw",62,0.999918269679656,23678.0066129072
"d13CO2","raw",63,0.999927763001581,23693.2044113151
"d13CO2","raw",64,0.999920989593276,23680.3549575913
"d13CO2","raw",65,0.999915378515823,23646.0681174365
"d13CO2","raw",66,0.999927644489302,23651.3213600605
"d13CO2","raw",67,0.999943636489872,23677.8254510805
"d13CO2","raw",68,0.99996078288019,23704.3411967206
"d13CO2","raw",69,0.99996108678353,23716.3095827508
"d13CO2","raw",70,0.999951029773454,23718.2905765272
"d13CO2","raw",71,0.999962746752347,23739.6647398067
"d13CO2","raw",72,0.999969753504675,23729.9737919318
"d13CO2","raw",73,0.999964957018824,23711.7284445124
"d13CO2","raw",74,0.999967892092106,23666.0002579819
"d13CO2","raw",75,0.999967715410881,23718.7525136235
"d13CO2","raw",76,0.999950234235166,23727.7831424735
"d13CO2","raw",77,0.999955569617798,23680.9439099524
"d13CO2","raw",78,0.999953133952863,23683.5951316598
"d13CO2","raw",79,0.999964048382753,23705.128557166
"d13CO2","raw",80,0.999963638267791,23688.3565127284
"d13CO2","raw",81,0.999960641783977,23690.2138618711
"d13CO2","raw",82,0.999949041923664,23678.2783574962
"d13CO2","raw",83,0.999940828187523,23694.8379013763
"d13CO2","raw",84,0.99994757141969,23665.103311266
"d13CO2","raw",85,0.999947320917061,23679.481916309
"d13CO2","raw",86,0.999952240173701,23692.2516289253
"d13CO2","raw",87,0.99994638361626,23682.197412122
"d13CO2","raw",88,0.99994559413234,23662.2178376585
"d13CO2","raw",89,0.999962781947218,23657.7480134798
"d13CO2","raw",90,0.999973041167166,23664.887223678
"d13CO2","raw",91,0.999964622990616,23650.3093058653
"d13CO2","raw",92,0.999950787307736,23674.8321433695
"d13CO2","raw",93,0.999964429287897,23637.0278119059
"d13CO2","raw",94,0.999967914745685,23417.5271724179
"d13CO2","raw",95,0.999955160868613,23648.2486347415
"d13CO2","raw",96,0.999959530928094,23430.2672763452
"d13CO2","raw",97,0.999943345704564,23425.0061632604
"d13CO2","raw",98,0.999932134869833,23457.4870250365
"d13CO2","raw",99,0.999946103255987,23425.7330566711
"d13CO2","raw",100,0.999933223944958,23624.7418129286
"d13CO2","raw",101,0.999943373117767,23627.5243940428
"d13CO2","raw",102,0.999948663676618,23637.3500445394
"d13CO2","raw",103,0.999957276804994,23628.0700545132
"d13CO2","raw",104,0.999967456190194,23596.550030923
"d13CO2","raw",105,0.999968409311936,23597.3118681494
"d13CO2","raw",106,0.99996405684086,23582.8320728651
"d13CO2","raw",107,0.999955872018306,23393.4035053204
"d13CO2","raw",108,0.999944657294094,23628.2201819406
