"parameter","form","time.index","Rhat","ESS"
"d13CO2","raw",1,1.08147502097686,4793.23992913389
"d13CO2","raw",2,1.05719969929923,5565.04953733087
"d13CO2","raw",3,1.04186766980149,6208.80059945472
"d13CO2","raw",4,1.03169361397414,6422.53049736136
"d13CO2","raw",5,1.02447468157194,5617.70787799811
"d13CO2","raw",6,1.01968135782955,6022.28579666049
"d13CO2","raw",7,1.01614208257222,5660.9988862527
"d13CO2","raw",8,1.01303444981715,5555.76182703578
"d13CO2","raw",9,1.01099083933695,5568.3854189231
"d13CO2","raw",10,1.00948469085118,5776.62682030044
"d13CO2","raw",11,1.00823628559287,5806.76415413242
"d13CO2","raw",12,1.00715481193537,5563.83189147342
"d13CO2","raw",13,1.00633438821152,5318.88612387256
"d13CO2","raw",14,1.00576915746444,4826.70753147002
"d13CO2","raw",15,1.00540802385886,4489.56465484024
"d13CO2","raw",16,1.00455669675553,4199.4322214057
"d13CO2","raw",17,1.00397298044139,4276.73912541927
"d13CO2","raw",18,1.0040116779011,4339.24731506162
"d13CO2","raw",19,1.00349496211504,4639.90378650662
"d13CO2","raw",20,1.00308718597799,4990.8391812917
"d13CO2","raw",21,1.00277637714379,5491.0320994762
"d13CO2","raw",22,1.00269516732735,5689.87214249007
"d13CO2","raw",23,1.00235875944774,6303.54625241778
"d13CO2","raw",24,1.00226394368773,6668.04494880606
"d13CO2","raw",25,1.00202706739338,7325.20958906376
"d13CO2","raw",26,1.00179376881332,7923.62274189964
"d13CO2","raw",27,1.00144229875267,8505.53721721623
"d13CO2","raw",28,1.0010282384065,9494.72256998023
"d13CO2","raw",29,1.00080847946434,9761.8181970196
"d13CO2","raw",30,1.0005533492025,11387.3682672063
"d13CO2","raw",31,1.00041186292301,11831.1603144965
"d13CO2","raw",32,1.00027735087415,11785.8793679955
"d13CO2","raw",33,1.00029486323383,13101.356103175
"d13CO2","raw",34,1.00018144541892,12722.7789647728
"d13CO2","raw",35,1.00014902044309,13351.6562761179
"d13CO2","raw",36,1.00007116271196,13647.3405279383
"d13CO2","raw",37,1.00005065446258,13328.1508873247
"d13CO2","raw",38,1.00011218155389,13333.6981973023
"d13CO2","raw",39,0.999968516898246,13460.8730198286
"d13CO2","raw",40,0.999978493813799,13166.8380902617
"d13CO2","raw",41,1.00005970971208,12292.2211110803
"d13CO2","raw",42,0.999950714195933,12524.5219524485
"d13CO2","raw",43,0.999988206303767,11858.618170497
"d13CO2","raw",44,0.999942641030407,11738.1517644015
"d13CO2","raw",45,1.00000315897309,11770.8263015583
"d13CO2","raw",46,0.999987097946583,11570.9690369063
"d13CO2","raw",47,1.00000703352119,11846.7839824118
"d13CO2","raw",48,1.00009222290978,11259.2311772549
"d13CO2","raw",49,1.00005010517245,11438.5349689295
"d13CO2","raw",50,1.00006823153079,11659.6122115853
"d13CO2","raw",51,1.00006220340105,11774.7857662541
"d13CO2","raw",52,1.0000243317974,12308.119654004
"d13CO2","raw",53,1.00000368572035,12628.6326636164
"d13CO2","raw",54,1.00003855662429,12911.5517593808
"d13CO2","raw",55,1.00004293369191,13695.849975173
"d13CO2","raw",56,1.00004091815528,14271.9812322942
"d13CO2","raw",57,1.00005547501022,14565.1633762982
"d13CO2","raw",58,1.00006921496105,14596.7477228671
"d13CO2","raw",59,1.00006094096364,14865.4212218722
"d13CO2","raw",60,1.00009803140469,14763.7507863799
"d13CO2","raw",61,1.00009781316056,14898.3767357009
"d13CO2","raw",62,1.00008615751984,15160.5137901502
"d13CO2","raw",63,1.00008666988072,15246.9422147851
"d13CO2","raw",64,1.00016632923759,14959.9537463486
"d13CO2","raw",65,1.00016244929953,14741.6034063616
"d13CO2","raw",66,1.00016838600915,14145.571138554
"d13CO2","raw",67,1.00019172287298,13713.7122221253
"d13CO2","raw",68,1.00022758661612,13524.6758131445
"d13CO2","raw",69,1.00025291084524,13070.4740946451
"d13CO2","raw",70,1.0001896661948,12685.8432951088
"d13CO2","raw",71,1.00018374272671,12359.5521015267
"d13CO2","raw",72,1.0001207471003,12763.6843076868
"d13CO2","raw",73,1.00009230236169,13316.860215866
"d13CO2","raw",74,1.0001574780257,13351.8928465319
"d13CO2","raw",75,1.00014424959829,13641.8593364727
"d13CO2","raw",76,1.0001468267579,14278.6667230491
"d13CO2","raw",77,1.00020394649045,14312.4319340454
"d13CO2","raw",78,1.00023558303152,13947.3012507037
"d13CO2","raw",79,1.00018005664668,14510.9848361964
"d13CO2","raw",80,1.00016106672708,14682.54390085
"d13CO2","raw",81,1.00024664190351,14013.7862688953
"d13CO2","raw",82,1.00027710235479,13694.9466806989
"d13CO2","raw",83,1.00033401474726,13164.7408381961
"d13CO2","raw",84,1.00030605233489,12081.6893864533
"d13CO2","raw",85,1.00029502872334,11813.3121698353
"d13CO2","raw",86,1.00027732631394,11197.9220649529
"d13CO2","raw",87,1.00026633979665,11151.5783886465
"d13CO2","raw",88,1.00023618532683,10775.9185496441
"d13CO2","raw",89,1.00027107205181,10445.0836122889
"d13CO2","raw",90,1.00025993917175,10400.0403135719
"d13CO2","raw",91,1.00031019188228,10364.3446842465
"d13CO2","raw",92,1.00042421518935,10191.3240562787
"d13CO2","raw",93,1.00044535390812,9125.59600438089
"d13CO2","raw",94,1.00046896448129,8648.07762950699
"d13CO2","raw",95,1.00055684911355,8092.27358124725
"d13CO2","raw",96,1.00063846253761,7461.10760187095
"d13CO2","raw",97,1.00073635531066,7298.99369886839
"d13CO2","raw",98,1.00091920144597,7113.53455112075
"d13CO2","raw",99,1.00100917051595,5646.04761092367
"d13CO2","raw",100,1.00104986831281,5563.24894439901
"d13CO2","raw",101,1.00119302738186,5011.7246953029
"d13CO2","raw",102,1.00122825579348,5162.60830357955
"d13CO2","raw",103,1.00129094332619,4440.85027916048
"d13CO2","raw",104,1.00130921955931,4244.80215461293
"d13CO2","raw",105,1.00130055205248,4143.58752605972
"d13CO2","raw",106,1.00127713510233,4061.01256131454
"d13CO2","raw",107,1.00103989920629,3911.74271476248
"d13CO2","raw",108,1.00112163420277,3685.64353197987
"d13CO2","raw",109,1.00124494991258,3592.76889342215
"d13CO2","raw",110,1.00121348131697,3744.17297589557
"d13CO2","raw",111,1.00136824541267,4144.11778309003
"d13CO2","raw",112,1.0013202170523,4198.9720199979
"d13CO2","raw",113,1.00141275511655,4484.86073134597
"d13CO2","raw",114,1.00119543911911,4203.33717271542
"d13CO2","raw",115,1.00109855855141,4589.61273004569
"d13CO2","raw",116,1.00109884150288,5645.85638494112
"d13CO2","raw",117,1.00082749244004,5737.44178035602
"d13CO2","raw",118,1.00071939125604,6705.53373466546
"d13CO2","raw",119,1.0006451638074,7151.57027922975
"d13CO2","raw",120,1.00065994321013,7478.76352902128
"d13CO2","raw",121,1.00054265588189,8150.24963808222
"d13CO2","raw",122,1.00054036626131,9869.31982416805
"d13CO2","raw",123,1.00055744229268,11016.1842859566
"d13CO2","raw",124,1.00055527625925,11271.327170234
"d13CO2","raw",125,1.00040744309837,12215.2699437865
"d13CO2","raw",126,1.00035740411332,12396.2724980193
"d13CO2","raw",127,1.00033693831305,13282.5470510687
"d13CO2","raw",128,1.00024654582571,13650.5889352984
"d13CO2","raw",129,1.00016437862858,14163.376076974
"d13CO2","raw",130,1.00026280383592,14462.8182051377
"d13CO2","raw",131,1.00028737816458,15416.0186668355
"d13CO2","raw",132,1.00027396393073,15219.5721406727
"d13CO2","raw",133,1.0002824227373,16029.1432961583
"d13CO2","raw",134,1.00029766182602,16115.9491494809
"d13CO2","raw",135,1.00016878443551,15264.2091615475
"d13CO2","raw",136,1.00015495744185,15490.2375589203
"d13CO2","raw",137,1.00018154408718,15499.1959182847
"d13CO2","raw",138,1.00016074521508,16121.2189413854
"d13CO2","raw",139,1.00012486622466,15311.5726365228
"d13CO2","raw",140,1.00014180296661,15678.5279664408
"d13CO2","raw",141,1.00010885541005,15040.3967677551
"d13CO2","raw",142,1.0001318349166,14672.7726219221
"d13CO2","raw",143,1.00010978466796,14546.0716252158
"d13CO2","raw",144,1.00011789116033,14771.5134896199
"d13CO2","raw",145,1.0001322484072,14608.522703215
"d13CO2","raw",146,1.0000643760516,14508.3931108744
"d13CO2","raw",147,1.00002106129986,13592.6894829444
"d13CO2","raw",148,1.00002280457978,14022.4054869807
"d13CO2","raw",149,1.00009265478401,13954.9392536228
"d13CO2","raw",150,1.00008091350785,12563.1336720802
"d13CO2","raw",151,1.00004332442178,11851.9841655851
"d13CO2","raw",152,1.00011400695964,11168.3884911431
"d13CO2","raw",153,1.00016133011159,10413.8337850091
"d13CO2","raw",154,1.00019490624212,9768.3329212448
"d13CO2","raw",155,1.00029777717399,9320.8235797884
"d13CO2","raw",156,1.00028975721522,8286.9597603631
"d13CO2","raw",157,1.00042329666312,7825.94951114774
"d13CO2","raw",158,1.00036422222659,7569.31506690782
"d13CO2","raw",159,1.00046623092466,7113.23111523449
"d13CO2","raw",160,1.00056815698963,6679.94992999847
"d13CO2","raw",161,1.000427318208,7043.7727848105
"d13CO2","raw",162,1.00043241545016,6002.70560917798
"d13CO2","raw",163,1.00044691033107,6405.79374565268
"d13CO2","raw",164,1.0005181155178,6554.34163671102
"d13CO2","raw",165,1.0003329448841,7160.75197989303
"d13CO2","raw",166,1.00029776472905,7276.34946620424
"d13CO2","raw",167,1.00031302159496,6986.76292454506
"d13CO2","raw",168,1.00027517888725,7111.25436091952
"d13CO2","raw",169,1.00020519230606,7777.10532791724
"d13CO2","raw",170,1.00022184782226,8459.61982606139
"d13CO2","raw",171,1.00017116723465,8715.61496729113
"d13CO2","raw",172,1.00011105126333,9736.93812695101
"d13CO2","raw",173,1.00007915319784,10266.1075218667
"d13CO2","raw",174,1.00006145793287,10844.3199803539
"d13CO2","raw",175,1.00016672335227,10945.3819998056
"d13CO2","raw",176,1.00021363935435,11135.7173796751
"d13CO2","raw",177,1.00014604040133,11428.9045352871
"d13CO2","raw",178,1.00008812747959,11924.6719428611
"d13CO2","raw",179,1.00014219115286,11947.5156606864
"d13CO2","raw",180,1.00022846988896,11978.3790315127
"d13CO2","raw",181,1.00026397031061,12099.7927416273
"d13CO2","raw",182,1.00017658723328,11575.3839018068
"d13CO2","raw",183,1.00012040444252,12122.4323550843
"d13CO2","raw",184,1.00006291913011,11936.1131503024
"d13CO2","raw",185,1.00006215380116,12169.7720350561
"d13CO2","raw",186,1.00005146597074,11854.2678748734
"d13CO2","raw",187,1.00011449758365,12315.5792643171
"d13CO2","raw",188,1.00013358052416,12112.9112293716
"d13CO2","raw",189,1.00010924772817,12895.8798061659
"d13CO2","raw",190,1.00007109748073,13035.0145568642
"d13CO2","raw",191,1.00010204948399,13393.608836362
"d13CO2","raw",192,1.00007467970102,13398.5869980813
"d13CO2","raw",193,1.00006545557977,13865.5918637773
"d13CO2","raw",194,1.00006380330683,14799.8132184738
"d13CO2","raw",195,1.00005698473247,15029.400617379
"d13CO2","raw",196,1.00005058034224,14310.6301341021
"d13CO2","raw",197,1.00006909887146,14665.2265015794
"d13CO2","raw",198,0.999971851013048,13673.0457238742
"d13CO2","raw",199,1.00002516615084,14469.5898611404
"d13CO2","raw",200,1.00003763026166,13548.5659336271
"d13CO2","raw",201,1.00004317031244,13392.9026944169
"d13CO2","raw",202,1.00006709226005,12706.0884009163
"d13CO2","raw",203,1.00005208908791,12027.5595898545
"d13CO2","raw",204,1.00010361900404,11069.6522879495
"d13CO2","raw",205,1.00004258112127,10536.244270151
"d13CO2","raw",206,1.00006564938582,9323.85685444738
"d13CO2","raw",207,1.00017358219203,8935.42076159334
"d13CO2","raw",208,1.00018106102077,8163.44253184767
"d13CO2","raw",209,1.0001477561848,7747.68093278104
"d13CO2","raw",210,1.0001716671277,7578.17741290186
"d13CO2","raw",211,1.00017056439674,7452.45631605237
"d13CO2","raw",212,1.00015045930449,7165.6061058594
"d13CO2","raw",213,1.00009277058503,6915.60800110443
"d13CO2","raw",214,0.999992818326621,6921.71638455491
"d13CO2","raw",215,0.999950662618513,6620.65461340257
"d13CO2","raw",216,0.999946787530118,6622.11621179485
"d13CO2","raw",217,0.999980172029756,6646.39625990444
"d13CO2","raw",218,0.999992954591843,6770.09096074751
"d13CO2","raw",219,0.999940681270598,7001.1557591445
"d13CO2","raw",220,0.999952230306001,7076.63058348377
"d13CO2","raw",221,0.999963768833635,7563.07435730105
"d13CO2","raw",222,0.999943271794991,7711.09300909875
"d13CO2","raw",223,0.999957292979915,7838.20989544981
"d13CO2","raw",224,1.00000600332977,7688.82305851997
"d13CO2","raw",225,0.999932008367624,7271.40182547256
"d13CO2","raw",226,0.999978538300769,7348.07284909957
