"parameter","form","time.index","Rhat","ESS"
"d13CO2","raw",1,1.11099502346817,1951.41700562326
"d13CO2","raw",2,1.08292174537267,2073.27860851037
"d13CO2","raw",3,1.06302549647018,2378.72180898402
"d13CO2","raw",4,1.05010023928283,2554.86269141679
"d13CO2","raw",5,1.04015116999116,2491.04090633049
"d13CO2","raw",6,1.03335311869418,2580.03646612323
"d13CO2","raw",7,1.02847345692153,2600.59274620045
"d13CO2","raw",8,1.02402533178677,2686.88925357156
"d13CO2","raw",9,1.02062301269964,2587.87936923249
"d13CO2","raw",10,1.01785791131857,2515.11190410499
"d13CO2","raw",11,1.01506895940904,2472.9720257888
"d13CO2","raw",12,1.0135564884456,2736.45497717412
"d13CO2","raw",13,1.01185293799441,2610.50340244502
"d13CO2","raw",14,1.01048305996591,2482.23507829533
"d13CO2","raw",15,1.00886020337154,2293.27988537088
"d13CO2","raw",16,1.00827737325238,2234.90251977745
"d13CO2","raw",17,1.00733998658512,2295.75242413545
"d13CO2","raw",18,1.0064042293265,2383.7199452292
"d13CO2","raw",19,1.00582481878963,2682.0653683706
"d13CO2","raw",20,1.00542566724443,2885.6747890862
"d13CO2","raw",21,1.00498086400598,3163.64219280022
"d13CO2","raw",22,1.00451699188318,3301.17978239634
"d13CO2","raw",23,1.00387509853828,3665.7049280983
"d13CO2","raw",24,1.00364481899447,3954.3658793837
"d13CO2","raw",25,1.00313222527045,4375.75428605599
"d13CO2","raw",26,1.00251234642752,4825.72035701732
"d13CO2","raw",27,1.00222088500028,5117.04507925031
"d13CO2","raw",28,1.00195069283303,5376.13527447563
"d13CO2","raw",29,1.00169449088524,6132.103249587
"d13CO2","raw",30,1.00140855532124,6725.43022333236
"d13CO2","raw",31,1.00100965119658,7039.34385710754
"d13CO2","raw",32,1.00078334172262,6855.15427794086
"d13CO2","raw",33,1.00061214156164,7439.96218883555
"d13CO2","raw",34,1.00056760278965,7808.6218735341
"d13CO2","raw",35,1.00044875090652,7931.84626781429
"d13CO2","raw",36,1.00037530770776,8334.97045187485
"d13CO2","raw",37,1.00031497256765,8486.26825227816
"d13CO2","raw",38,1.00026277204993,8385.88387458582
"d13CO2","raw",39,1.00016802030965,8362.4624670676
"d13CO2","raw",40,1.00006345644765,8552.78408496393
"d13CO2","raw",41,1.0001113406204,8485.75692030333
"d13CO2","raw",42,1.00009872442889,8094.03642039501
"d13CO2","raw",43,1.00013353756669,7480.20093244863
"d13CO2","raw",44,1.0001797321512,7255.30685639061
"d13CO2","raw",45,1.00017759423118,7413.29663834919
"d13CO2","raw",46,1.00016231537534,7132.94868138774
"d13CO2","raw",47,1.00018860307208,7075.35906447015
"d13CO2","raw",48,1.00009623711783,6999.7899420589
"d13CO2","raw",49,1.00003489409187,7270.28041983246
"d13CO2","raw",50,1.00003007085772,7321.22889621313
"d13CO2","raw",51,0.999977584479174,7554.18750991026
"d13CO2","raw",52,0.999996907284184,7219.26114420154
"d13CO2","raw",53,0.999948014684386,7401.91333914705
"d13CO2","raw",54,0.999970611800132,7692.05120081473
"d13CO2","raw",55,1.0000057298863,7955.0115726848
"d13CO2","raw",56,0.99998522089271,8505.6310763621
"d13CO2","raw",57,1.00004482685296,8494.11362930546
"d13CO2","raw",58,1.00009310175585,8441.34371074616
"d13CO2","raw",59,1.00013357501253,8476.64111249826
"d13CO2","raw",60,1.00020175574678,8933.66535046547
"d13CO2","raw",61,1.00022813105516,9001.25999193846
"d13CO2","raw",62,1.00027821515703,8817.79323787727
"d13CO2","raw",63,1.00025391171936,8877.1134274469
"d13CO2","raw",64,1.0001443274116,9033.97353146183
"d13CO2","raw",65,1.00010579378619,9247.1134728117
"d13CO2","raw",66,1.00018503144782,8640.21366578547
"d13CO2","raw",67,1.00029480175961,8343.89254402962
"d13CO2","raw",68,1.00030111206372,8188.79634518304
"d13CO2","raw",69,1.00034668995162,8538.63340230884
"d13CO2","raw",70,1.00043014357797,8316.69948158983
"d13CO2","raw",71,1.00048974945258,8095.77241749728
"d13CO2","raw",72,1.00034485527401,8474.20298750344
"d13CO2","raw",73,1.00029421141124,8660.59844505503
"d13CO2","raw",74,1.00026626389041,8604.35767837178
"d13CO2","raw",75,1.0003173524181,8337.48130189862
"d13CO2","raw",76,1.00028205003973,8521.95311145337
"d13CO2","raw",77,1.00030808361429,8643.49837027262
"d13CO2","raw",78,1.00028474209498,8983.48392034093
"d13CO2","raw",79,1.00019695598665,9170.058926195
"d13CO2","raw",80,1.0001968875933,8935.18239821029
"d13CO2","raw",81,1.00020209873718,9902.91646634878
"d13CO2","raw",82,1.00029124112592,9810.93414855903
"d13CO2","raw",83,1.00034683153938,9747.85855696287
"d13CO2","raw",84,1.00031386443407,9153.16438632679
"d13CO2","raw",85,1.00041916125503,8891.02879016739
"d13CO2","raw",86,1.00040328427437,8744.92718617201
"d13CO2","raw",87,1.00060477175409,8397.72094472884
"d13CO2","raw",88,1.00066367058705,8241.48616149737
"d13CO2","raw",89,1.0005775057044,8127.87337220398
"d13CO2","raw",90,1.00081943724351,7927.6080387679
"d13CO2","raw",91,1.00077041284827,7649.72983575774
"d13CO2","raw",92,1.00078126675269,7417.85905085947
"d13CO2","raw",93,1.00094432166904,7311.13874707324
"d13CO2","raw",94,1.00088917588453,6681.07034542385
"d13CO2","raw",95,1.00112853856373,6467.75030662721
"d13CO2","raw",96,1.00123520680951,6136.94324999857
"d13CO2","raw",97,1.00132137098381,5611.81600219428
"d13CO2","raw",98,1.00137376533439,5303.93802135137
"d13CO2","raw",99,1.00136070783162,4713.90965405711
"d13CO2","raw",100,1.00149728363955,4404.14199308361
"d13CO2","raw",101,1.00153470750991,3974.29284016472
"d13CO2","raw",102,1.00184629190456,3804.65327815457
"d13CO2","raw",103,1.00208375833911,3910.4041682941
"d13CO2","raw",104,1.00255297113246,3653.45731355644
"d13CO2","raw",105,1.00278535898797,3277.11075782401
"d13CO2","raw",106,1.00296422430424,3065.2480876731
"d13CO2","raw",107,1.00349942120269,2752.11859991582
"d13CO2","raw",108,1.00373186220338,2573.63633894681
"d13CO2","raw",109,1.00400879975675,2630.02710783981
"d13CO2","raw",110,1.0039237730359,2734.40683129816
"d13CO2","raw",111,1.0036660922783,2812.82556182105
"d13CO2","raw",112,1.00341612005204,3085.43222003079
"d13CO2","raw",113,1.00325008434649,3279.43685844925
"d13CO2","raw",114,1.00290574903572,3530.16652651937
"d13CO2","raw",115,1.00276956176075,3761.46120630959
"d13CO2","raw",116,1.00254400036581,4036.64382333939
"d13CO2","raw",117,1.002339229267,4343.83303631198
"d13CO2","raw",118,1.00213303946381,4800.73349369736
"d13CO2","raw",119,1.00194880647989,5398.46375087328
"d13CO2","raw",120,1.00187211325435,5457.61238725367
"d13CO2","raw",121,1.00159796140225,6229.14465146181
"d13CO2","raw",122,1.00132920558476,7013.19771311239
"d13CO2","raw",123,1.00126572460842,8090.18869171095
"d13CO2","raw",124,1.00115843070036,8937.45622437033
"d13CO2","raw",125,1.00117988140597,9737.4568555723
"d13CO2","raw",126,1.001039054963,11523.5101967776
"d13CO2","raw",127,1.00092438093469,11416.2244544197
"d13CO2","raw",128,1.00079741806303,13509.3636676972
"d13CO2","raw",129,1.00069149064613,14344.7274855078
"d13CO2","raw",130,1.00081699455949,15045.1350870087
"d13CO2","raw",131,1.00074130433218,15401.347888634
"d13CO2","raw",132,1.00071355766818,16928.8514604196
"d13CO2","raw",133,1.00078775049693,17299.6941697285
"d13CO2","raw",134,1.00064885334492,17755.4708771285
"d13CO2","raw",135,1.00062638926738,17823.113582141
"d13CO2","raw",136,1.00077080794021,18509.0424468721
"d13CO2","raw",137,1.00073813808485,18811.2061776079
"d13CO2","raw",138,1.00073928418312,18759.8979210687
"d13CO2","raw",139,1.00083213911641,18143.946722924
"d13CO2","raw",140,1.00061123035468,17783.0440159526
"d13CO2","raw",141,1.00054854242819,17887.3340359531
"d13CO2","raw",142,1.00061426168429,17593.5097964596
"d13CO2","raw",143,1.00062700267723,17731.7125976733
"d13CO2","raw",144,1.00070074356936,17855.4302779581
"d13CO2","raw",145,1.00066184295038,17728.6468828906
"d13CO2","raw",146,1.00062865677071,17317.4490187054
"d13CO2","raw",147,1.0005917287374,17151.1639420566
"d13CO2","raw",148,1.00067757311567,16910.0540977681
"d13CO2","raw",149,1.00076305545508,16782.6249190611
"d13CO2","raw",150,1.00077584112553,16509.1582428193
"d13CO2","raw",151,1.00081098494823,15812.5089083186
"d13CO2","raw",152,1.0008986712189,14904.2666728111
"d13CO2","raw",153,1.00092851541758,14563.4675106911
"d13CO2","raw",154,1.00091240096972,13591.5437185278
"d13CO2","raw",155,1.00081210922329,12836.63185087
