"parameter","form","time.index","Rhat","ESS"
"d13CO2","raw",1,1.06198080420678,1329.79974107585
"d13CO2","raw",2,1.04723335809199,1761.6407761122
"d13CO2","raw",3,1.03734290285764,2136.75070761613
"d13CO2","raw",4,1.03062344078418,2520.55629651602
"d13CO2","raw",5,1.02535657936238,2607.18982064957
"d13CO2","raw",6,1.02201995140238,2770.82778675903
"d13CO2","raw",7,1.01894667818558,2966.38349993018
"d13CO2","raw",8,1.01655823685367,2963.31216674328
"d13CO2","raw",9,1.01468769661579,2951.56742430674
"d13CO2","raw",10,1.0132910766117,2952.82986962402
"d13CO2","raw",11,1.01210396838706,2927.4338824459
"d13CO2","raw",12,1.01066463155554,2812.53058371054
"d13CO2","raw",13,1.00910937863123,2791.07437669616
"d13CO2","raw",14,1.00794433614313,2840.97209299349
"d13CO2","raw",15,1.00753565792536,2705.2417428938
"d13CO2","raw",16,1.00668951648931,2706.55433980284
"d13CO2","raw",17,1.00615156782734,2799.16865811965
"d13CO2","raw",18,1.00629181966067,2796.39090510261
"d13CO2","raw",19,1.00570415565243,2831.22798880355
"d13CO2","raw",20,1.00499168240456,3200.15360992126
"d13CO2","raw",21,1.00470824971752,3171.96049494872
"d13CO2","raw",22,1.00406864373078,3557.8310652171
"d13CO2","raw",23,1.00383697945655,3722.63778871494
"d13CO2","raw",24,1.00354993698994,3902.77106223064
"d13CO2","raw",25,1.00342669540824,4129.59068163355
"d13CO2","raw",26,1.0033106474509,4649.54025166941
"d13CO2","raw",27,1.00307128884377,4914.23008141898
"d13CO2","raw",28,1.00297202894934,5226.33256541693
"d13CO2","raw",29,1.00256989439904,5404.34672193526
"d13CO2","raw",30,1.00226671326744,5346.27740139313
"d13CO2","raw",31,1.00209384238882,5508.42814282337
"d13CO2","raw",32,1.00170674384023,5957.36286407377
"d13CO2","raw",33,1.00158034687672,6655.60613536559
"d13CO2","raw",34,1.00148169663126,6790.65018178302
"d13CO2","raw",35,1.00148212925434,6890.60423530921
"d13CO2","raw",36,1.00143286060484,7119.00417698553
"d13CO2","raw",37,1.00152606245828,7244.43113460444
"d13CO2","raw",38,1.00137560319558,7408.06407857024
"d13CO2","raw",39,1.00138746976297,7453.97068731217
"d13CO2","raw",40,1.00128048845594,7574.99953309733
"d13CO2","raw",41,1.00132399159241,7348.05110444828
"d13CO2","raw",42,1.00124581135529,7001.29576192442
"d13CO2","raw",43,1.00121604381738,6969.63982535969
"d13CO2","raw",44,1.00132731797319,7006.78940115389
"d13CO2","raw",45,1.00119924442852,6917.18821791094
"d13CO2","raw",46,1.00105096281678,6808.57791766763
"d13CO2","raw",47,1.00105460280966,6827.43541145531
"d13CO2","raw",48,1.001175680952,6861.22305720741
"d13CO2","raw",49,1.0012169579319,6953.32690224862
"d13CO2","raw",50,1.00103648182154,7049.582073143
"d13CO2","raw",51,1.00111606544349,7228.39908864301
"d13CO2","raw",52,1.00106180015257,7451.35699513633
"d13CO2","raw",53,1.00104460074014,7526.32026788556
