"parameter","median","lower","upper","Rhat","ESS"
"d13CO2_sigma",0.0998546136793813,0.0992349267997396,0.0999942841605938,1.00009080707496,24574.6342942557
"GMST_sigma",0.497926106463849,0.489358416729323,0.499924229654002,1.00003603614683,23646.508684729
"BWT_sigma",0.497788401376571,0.488325241751584,0.499915016496657,0.999978780859102,24000
"cc_co2_constant1",12.0528182523227,11.818944135216,12.2229838841553,1.00012529899622,23653.302374195
"cc_co2_coeff1",0.139920050697901,0.139573925915846,0.13999695341967,1.00003490420395,24231.390595563
"asd",1.03349083595861,0.648157746197218,1.42920892709139,1.00008186593722,24064.936158744
"bpump",2.16221194814002,1.58031451170521,2.75499205337921,0.999986740791299,23854.2973323114
"remin",1.13898351420118,0.628409627546792,1.65338743551444,0.999922361100936,23684.1626314314
"f_co3",0.000659719418899119,2.41118743569489e-05,0.00342782212073201,1.00104181325413,6737.65888326245
"f_carbacid",0.000954911279956621,3.61899540394728e-05,0.00477776193261991,1.00076704633022,5115.56828193237
"Abf",4.33242792318839,3.65393125246565,5.02263715907719,1.00000411656997,24096.2036732727
"Asurf",1.03349083595861,0.648157746197218,1.42920892709139,1.00008186593722,24064.936158744
"d13CO2_level",-4.58737832020207,-5.22480556700716,-3.95609576817624,1.02009043953515,1080.55938054609
"bf.nsb_mean",0.37460499197052,-0.0687008884492833,0.829419742225669,0.99996938190188,24706.5785482673
"pf.nsb_mean",-0.813315378480238,-1.21155517629026,-0.421481777089215,0.999928642195401,24000
"brach.nsb_mean",-0.134545937786024,-0.574053938616669,0.299152605663375,0.99995871603741,24449.7863400033
"bivalve.nsb_mean",2.53496286033979,1.88703876057373,3.18196533858361,1.00019815949004,19795.737789737
"bulk.nsb_mean",1.36972690365201,0.86497614811978,1.87972959200738,1.00054951114939,17264.0085868727
"bf.nsb_tau",996893.136550897,938198.800924058,1059944.46404247,1.01143536344345,183.543170279759
"pf.nsb_tau",999956.918727409,934100.639684551,1069848.69162266,1.06818687845771,131.318272484958
"brach.nsb_tau",998355.848754782,941111.747608227,1058621.21034243,1.02513601780832,175.104035270043
"bivalve.nsb_tau",999658.666755764,938175.036916536,1066081.7694503,1.03668837402424,134.133000606928
"bulk.nsb_tau",1001258.85374377,938442.016099397,1065838.03695416,1.03643450182876,103.33912716611
"bf.archive_level",-9.29545550731447,-9.58562255255701,-9.06372513245219,1.15014882887133,71.7177446064285
"pf.archive_level",7.24061168890498,6.95503184667845,7.46996793139583,1.14972098468194,66.1624232853189
"brach.archive_level",6.56181048808674,6.22988219806827,6.86039844705683,1.09120012159743,126.312449959757
"bivalve.archive_level",3.89027564536005,3.29197121017565,4.48365219366027,1.02355345756936,761.886264860041
"bulk.archive_level",5.05230652167745,4.61076224809462,5.49353159931672,1.02990725392706,679.338606742716
