"parameter","median","lower","upper","Rhat","ESS"
"d13CO2_sigma",0.0999609042252403,0.0997898239451658,0.0999985207984448,1.00004795789872,24287.666936858
"GMST_sigma",0.49960046649398,0.497941464704445,0.49998574553536,0.999950033370083,24000
"BWT_sigma",0.48943322200929,0.451233280124585,0.499621105261284,1.00024736708154,14727.6118571877
"cc_co2_constant1",12.0670640320765,11.8346857648307,12.2254182523477,1.00005621378909,23618.5760786959
"cc_co2_coeff1",0.139993455450528,0.139964733679888,0.139999753043517,1.00012777116864,24403.6890042791
"asd",1.01857081766069,0.625120045643987,1.40401474971557,1.00008805889927,23525.7697032447
"bpump",2.27691629341647,1.69574835068034,2.85383259669773,1.0000906056883,18162.6408441286
"remin",1.2042034093579,0.700237290977794,1.71324240232432,1.00004142236448,23485.1956363033
"f_co3",0.00271836515882263,0.000103804087588493,0.015649543703344,1.00420690379294,332.875571270973
"f_carbacid",0.00467529782783537,0.000266402467662486,0.0130794105604873,1.00280993174334,1045.06199112393
"Abf",4.4987034507319,3.83105160273302,5.16872968458421,1.00030113581357,14939.7461937361
"Asurf",1.01857081766069,0.625120045643987,1.40401474971557,1.00008805889927,23525.7697032447
"d13CO2_level",-7.28336747636112,-8.17901741514108,-6.47343381626523,1.39540453748137,104.626205574072
"bf.nsb_mean",0.417583390916662,-0.0254730596291823,0.861056769117208,0.999983618346968,24591.2167528289
"pf.nsb_mean",-0.329927760173,-0.637286047461121,-0.0201610796669716,1.0002291547549,19122.1658176723
"brach.nsb_mean",0.0251428075640883,-0.281947129270943,0.33757221052396,0.999992675712477,19791.7745195654
"bivalve.nsb_mean",-0.882802247017676,-1.18998105608024,-0.569282958726739,0.999997457216293,19846.221612169
"amm.nsb_mean",1.49864847620363,1.18776956822195,1.81860671486164,1.00004140819469,20335.6092121662
"bel.nsb_mean",1.51955485504182,1.21174712758434,1.8329368479948,1.00000653498744,19674.8200852385
"micrite.nsb_mean",-0.439284940045403,-0.786935917210282,-0.0942313978375153,1.00008658267838,15435.4157594642
"bulk.nsb_mean",0.311780704977072,0.00563586160530763,0.62444092546846,1.00000939585643,19751.5054505669
"bulk_sr.nsb_mean",1.48394408795256,1.05339472148226,1.91343164111023,1.00012199234608,17433.6345081337
"bulk_marg.nsb_mean",0.615112626393163,0.30559007940148,0.928212113072053,0.999976344379343,19706.8692169726
"bf.nsb_tau",1001078.43078672,949457.909151108,1066654.56497128,1.05295770700324,114.598559595047
"pf.nsb_tau",992798.186449678,931297.797315701,1051810.18598088,1.05544373135551,92.449785921429
"brach.nsb_tau",999346.047937762,935378.878697673,1068449.87184447,1.09237070034375,165.524013375065
"bivalve.nsb_tau",996083.631460248,930105.652568619,1056633.84730922,1.03691428276345,158.441594687871
"amm.nsb_tau",1000693.85182561,940976.756020015,1058373.10906231,1.09063770200145,142.081587969733
"bel.nsb_tau",1001806.52409631,940181.856120231,1061497.09411357,1.04180573223554,151.404739669767
"micrite.nsb_tau",999058.31581792,943982.678272223,1073309.58275352,1.06149470339373,89.0483326005912
"bulk.nsb_tau",993448.347515802,926693.751899161,1058909.26217477,1.02798585383079,94.7179833753574
"bulk_sr.nsb_tau",1003727.96295909,938408.974717278,1065088.6596828,1.02959040870388,97.5541459211625
"bulk_marg.nsb_tau",997911.317711435,944345.377872763,1072950.29260169,1.01014095229129,414.476298177502
"bf.archive_level",-12.1981403366424,-12.8715983003043,-11.6178668609351,1.78554736271411,29.6044804422828
"pf.archive_level",4.10493353590527,3.41160067132375,4.65007690408138,1.81899561063564,16.4030695547517
"brach.archive_level",3.75293457758531,3.05055891941248,4.29420283306135,1.8181928127293,21.8952817321999
"bivalve.archive_level",4.65978639132443,3.95718151321614,5.20114949401363,1.81480111311309,22.6184534570134
"amm.archive_level",2.27843930287364,1.57139662709277,2.8268690998164,1.80288431439545,22.6518305733851
"bel.archive_level",2.2588892980397,1.55454994769819,2.7991195960481,1.8153410295503,23.8060954439882
"micrite.archive_level",4.21315261515925,3.42415347348701,4.86249225208948,1.60650924507215,55.1022369526744
"bulk.archive_level",3.46647221997276,2.76356588222465,4.00772348481305,1.81921015676927,23.4825193991726
"bulk_sr.archive_level",2.28512368121161,1.50274873069821,2.93343417719659,1.61952959106873,48.4316220753185
"bulk_marg.archive_level",3.16128166803279,2.46045682199047,3.70250689898398,1.81738745717384,22.6586166721296
